Date,Time,Heart rate,Source
2025.10.22 00:00:00,00:00:00,54,com.garmin.android.apps.connectmobile
2025.10.22 00:02:00,00:02:00,56,com.garmin.android.apps.connectmobile
2025.10.22 00:04:00,00:04:00,58,com.garmin.android.apps.connectmobile
2025.10.22 00:06:00,00:06:00,57,com.garmin.android.apps.connectmobile
2025.10.22 00:08:00,00:08:00,56,com.garmin.android.apps.connectmobile
2025.10.22 00:10:00,00:10:00,56,com.garmin.android.apps.connectmobile
2025.10.22 00:12:00,00:12:00,55,com.garmin.android.apps.connectmobile
2025.10.22 00:14:00,00:14:00,54,com.garmin.android.apps.connectmobile
2025.10.22 00:16:00,00:16:00,51,com.garmin.android.apps.connectmobile
2025.10.22 00:18:00,00:18:00,64,com.garmin.android.apps.connectmobile
2025.10.22 00:20:00,00:20:00,52,com.garmin.android.apps.connectmobile
2025.10.22 00:22:00,00:22:00,55,com.garmin.android.apps.connectmobile
2025.10.22 00:24:00,00:24:00,73,com.garmin.android.apps.connectmobile
2025.10.22 00:26:00,00:26:00,80,com.garmin.android.apps.connectmobile
2025.10.22 00:28:00,00:28:00,74,com.garmin.android.apps.connectmobile
2025.10.22 00:30:00,00:30:00,68,com.garmin.android.apps.connectmobile
2025.10.22 00:32:00,00:32:00,55,com.garmin.android.apps.connectmobile
2025.10.22 00:34:00,00:34:00,51,com.garmin.android.apps.connectmobile
2025.10.22 00:36:00,00:36:00,50,com.garmin.android.apps.connectmobile
2025.10.22 00:38:00,00:38:00,51,com.garmin.android.apps.connectmobile
2025.10.22 00:40:00,00:40:00,53,com.garmin.android.apps.connectmobile
2025.10.22 00:42:00,00:42:00,52,com.garmin.android.apps.connectmobile
2025.10.22 00:44:00,00:44:00,53,com.garmin.android.apps.connectmobile
2025.10.22 00:46:00,00:46:00,53,com.garmin.android.apps.connectmobile
2025.10.22 00:48:00,00:48:00,52,com.garmin.android.apps.connectmobile
2025.10.22 00:50:00,00:50:00,50,com.garmin.android.apps.connectmobile
2025.10.22 00:52:00,00:52:00,50,com.garmin.android.apps.connectmobile
2025.10.22 00:54:00,00:54:00,53,com.garmin.android.apps.connectmobile
2025.10.22 00:56:00,00:56:00,81,com.garmin.android.apps.connectmobile
2025.10.22 00:58:00,00:58:00,63,com.garmin.android.apps.connectmobile
2025.10.22 01:00:00,01:00:00,58,com.garmin.android.apps.connectmobile
2025.10.22 01:02:00,01:02:00,68,com.garmin.android.apps.connectmobile
2025.10.22 01:04:00,01:04:00,71,com.garmin.android.apps.connectmobile
2025.10.22 01:06:00,01:06:00,60,com.garmin.android.apps.connectmobile
2025.10.22 01:08:00,01:08:00,47,com.garmin.android.apps.connectmobile
2025.10.22 01:10:00,01:10:00,46,com.garmin.android.apps.connectmobile
2025.10.22 01:12:00,01:12:00,46,com.garmin.android.apps.connectmobile
2025.10.22 01:14:00,01:14:00,51,com.garmin.android.apps.connectmobile
2025.10.22 01:16:00,01:16:00,50,com.garmin.android.apps.connectmobile
2025.10.22 01:18:00,01:18:00,46,com.garmin.android.apps.connectmobile
